KIDEN	Numéro de la plaque	Type de rayonnement	Dose de rayonnement	Filtre de protection	Poids	Couleur	Ternissement	Craquelure	Epaississement	Rides	Total du score aspect	Sèchage	Taux de Chromo-A	Réplique à T4	Taux de Chromo-B	Taux de Chromo-C	Surface rigidité	Surface concavité	Surface diamétralité	Score surface total	Elasticité interne	Cohérence interne	Coloration interne	Gonflement interne	Score total interne	Total Surface+Interne	Périodes	Type de rayonnement	Type de rayonnement * dose	Groupes	Filtre * Dose	Type de rayonnement * Périodes	Dose de rayonnement * Périodes	Filtre de protection * Périodes	Type de rayonnement * dose * Périodes	Groupes * Périodes
 433	127.00	Rayon W80	Dose 1/2	Filtre B	28.00	2.00	7.00	4.00	2.00	1.00	16.00	6.40	0.80		0.04	0.24	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 434	138.00	Rayon W80	Dose 1/2	Filtre B	32.00	2.00	4.00	4.00	2.00	1.00	13.00	20.30	0.90		0.03	0.23	1.00	4.00	1.00	6.00	1.00	1.00	1.00	1.50	4.50	10.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 435	141.00	Rayon W80	Dose 1/2	Filtre B	28.00	2.00	4.00	4.00	3.00	2.00	15.00	12.20	0.90		0.03	0.33	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 436	144.00	Rayon W80	Dose 1/2	Filtre B	28.00	1.00	4.00	3.00	2.00	1.00	11.00	14.00	0.80		0.02	0.22	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 437	149.00	Rayon W80	Dose 1/2	Filtre B	27.00	3.00	5.00	4.00	3.00	3.00	18.00	5.00	1.40		0.04	0.29	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 438	150.00	Rayon W80	Dose 1/2	Filtre B	27.00	2.00	4.00	4.00	3.00	2.00	15.00	15.50	1.20		0.02	0.22	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 439	158.00	Rayon W80	Dose 1/2	Filtre B	30.00	2.00	4.00	3.00	3.00	1.00	13.00	9.70	0.80		0.04	0.33											Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 440	166.00	Rayon W80	Dose 1/2	Filtre B	26.00	2.00	5.00	4.00	2.00	2.00	15.00	18.50	1.20		0.04	0.25	2.00	3.00	1.00	6.00	1.00	1.00	1.00	1.50	4.50	10.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 441	168.00	Rayon W80	Dose 1/2	Filtre B	30.00	2.00	2.00	3.00	2.00	1.00	10.00	5.70	1.00		0.07	0.39	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 442	171.00	Rayon W80	Dose 1/2	Filtre B	26.00	1.00	4.00	4.00	3.00	2.00	14.00	12.20	1.10		0.05	0.25	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T2	D1/2 * T2	fB * T2	W1/2 * T2	W1/2B * T2
 443	101.00	Rayon W80	Dose 1/2	Filtre C	26.00	1.00	1.00	1.00	2.00	1.00	6.00	5.50	0.80		0.04	0.29	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 444	103.00	Rayon W80	Dose 1/2	Filtre C	31.00	2.00	1.00	1.00	2.00	1.00	7.00	5.30	1.00		0.04	0.22	1.00	1.00	1.00	3.00	2.00	1.00	1.00	1.50	5.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 445	107.00	Rayon W80	Dose 1/2	Filtre C	26.00	2.00	1.00	2.00	3.00	1.00	9.00	6.10	0.80		0.05	0.28	1.00	1.00	1.00	3.00	2.00	1.00	1.00	1.50	5.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 446	115.00	Rayon W80	Dose 1/2	Filtre C	25.00	1.00	1.00	2.00	2.00	1.00	7.00	6.20	0.90		0.04	0.29	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 447	116.00	Rayon W80	Dose 1/2	Filtre C	32.00	3.00	1.00	1.00	3.00	1.00	9.00	5.90	1.00		0.06	0.35	1.00	1.00	1.00	3.00	2.00	1.00	1.00	1.50	5.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 448	117.00	Rayon W80	Dose 1/2	Filtre C	29.00	1.00	2.00	2.00	2.00	1.00	8.00	3.80	0.70		0.06	0.29	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 449	120.00	Rayon W80	Dose 1/2	Filtre C	26.00	2.00	2.00	1.00	2.00	1.00	8.00	6.70	1.00		0.06	0.30	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 450	122.00	Rayon W80	Dose 1/2	Filtre C	28.00	2.00	2.00	2.00	2.00	1.00	9.00	5.30	0.90		0.04	0.20	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 451	135.00	Rayon W80	Dose 1/2	Filtre C	30.00	1.00	2.00	2.00	2.00	1.00	8.00	5.70	1.00		0.05	0.38	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 452	142.00	Rayon W80	Dose 1/2	Filtre C	37.00	2.00	1.00	1.00	2.00	1.00	7.00	4.60	0.90		0.03	0.25	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 453	143.00	Rayon W80	Dose 1/2	Filtre C	28.00	2.00	2.00	3.00	2.00	1.00	10.00	5.00	0.90		0.05	0.31	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 454	155.00	Rayon W80	Dose 1/2	Filtre C	27.00	2.00	1.00	3.00	2.00	1.00	9.00	6.60	0.80		0.05	0.33	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 455	160.00	Rayon W80	Dose 1/2	Filtre C	27.00	1.00	1.00	2.00	2.00	1.00	7.00	8.10	0.90		0.03	0.23	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 456	162.00	Rayon W80	Dose 1/2	Filtre C	25.00	2.00	3.00	3.00	2.00	2.00	12.00	9.70	1.10		0.03	0.27	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 457	170.00	Rayon W80	Dose 1/2	Filtre C	26.00	1.00	2.00	3.00	2.00	1.00	9.00	8.70	0.90		0.05	0.23	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 458	172.00	Rayon W80	Dose 1/2	Filtre C	30.00	1.00	2.00	2.00	2.00	1.00	8.00	5.30	0.90		0.06	0.38	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T2	D1/2 * T2	fC * T2	W1/2 * T2	W1/2C * T2
 459	104.00	Rayon W80	Dose 2	Filtre A	28.00	2.00	4.00	3.00	3.00	2.00	14.00	7.60	1.00		0.03	0.21	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 460	108.00	Rayon W80	Dose 2	Filtre A													1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 461	114.00	Rayon W80	Dose 2	Filtre A	26.00	2.00	3.00	4.00	2.00	3.00	14.00	7.60	1.00		0.05	0.29	2.00	3.00	1.00	6.00	1.00	1.00	1.00	1.50	4.50	10.50	Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 462	119.00	Rayon W80	Dose 2	Filtre A	28.00	2.00	6.00	4.00	3.00	1.00	16.00	3.70	1.40		0.06	0.25	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 463	134.00	Rayon W80	Dose 2	Filtre A	30.00	2.00	6.00	4.00	2.00	1.00	15.00	14.20	0.70		0.05	0.31	1.00	3.00	1.00	5.00	1.00	1.00	1.00	1.50	4.50	9.50	Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 464	147.00	Rayon W80	Dose 2	Filtre A	27.00	2.00	4.00	2.00	2.00	1.00	11.00	5.90	1.40		0.04	0.25	2.00	2.00	1.00	5.00	1.00	1.00	1.00	1.50	4.50	9.50	Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 465	156.00	Rayon W80	Dose 2	Filtre A	27.00	2.00	7.00	4.00	2.00	2.00	17.00	3.40	1.40		0.04	0.21	2.00	4.00	1.00	7.00	1.00	1.00	1.00	1.50	4.50	11.50	Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 466	164.00	Rayon W80	Dose 2	Filtre A	28.00	2.00	6.00	4.00	2.00	2.00	16.00	7.30	1.10		0.05	0.28	2.00	3.00	1.00	6.00	1.00	1.00	1.00	1.50	4.50	10.50	Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 467	165.00	Rayon W80	Dose 2	Filtre A	27.00	1.00	1.00	3.00	2.00	1.00	8.00	5.70	0.90		0.04	0.29	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 468	173.00	Rayon W80	Dose 2	Filtre A	29.00	2.00	7.00	2.00	2.00	1.00	14.00	5.70	1.60		0.06	0.35											Temps T2	Rayon W	Rayon W 2	Rayon W. 2    filA	Filtre A 2 Med	W80 * T2	D2 * T2	fA * T2	W2 * T2	W2A * T2
 469	200.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 470	201.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 471	202.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 472	203.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 473	204.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 474	205.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 475	206.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 476	207.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 477	208.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 478	209.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 479	210.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 480	211.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 481	212.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 482	213.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 483	214.00	Témoin fin	Témoin	Témoin																							Temps T2	Autres	Non concerné	Non concerné	Non concerné	Téfin * T2	Tém * T2	Tém * T2	Non  * T2	Non  * T2
 484	3.00	Témoin	Témoin	Témoin	27.00	2.00	1.00	1.00	2.00	1.00	7.00	4.50	0.90		0.09	0.38	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 485	4.00	Témoin	Témoin	Témoin	31.00	3.00	1.00	2.00	5.00	2.00	13.00	5.20	0.98		0.04	0.27	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 486	8.00	Témoin	Témoin	Témoin	33.00	3.00	1.00	2.00	4.00	2.00	12.00	6.50	1.22		0.03	0.23	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 487	33.00	Témoin	Témoin	Témoin	31.00	2.00	1.00	1.00	3.00	2.00	9.00	5.10	0.90		0.04	0.31	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 488	38.00	Témoin	Témoin	Témoin	32.00	2.00	1.00	2.00	3.00	2.00	10.00	5.10	1.19		0.10	0.29	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 489	44.00	Témoin	Témoin	Témoin	30.00	2.00	1.00	2.00	3.00	2.00	10.00	3.10	0.88		0.08	0.32	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 490	49.00	Témoin	Témoin	Témoin	30.00	3.00	1.00	1.00	4.00	2.00	11.00	5.40	0.96		0.08	0.29	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 491	54.00	Témoin	Témoin	Témoin	31.00	2.00	1.00	1.00	2.00	1.00	7.00	5.20	1.14		0.11	0.29	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 492	57.00	Témoin	Témoin	Témoin	33.00	2.00	1.00	1.00	3.00	2.00	9.00	5.00	0.88		0.06	0.29	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 493	61.00	Témoin	Témoin	Témoin	32.00	3.00	1.00	1.00	3.00	1.00	9.00	5.30	1.03		0.08	0.30	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 494	63.00	Témoin	Témoin	Témoin	27.00	1.00	1.00	1.00	2.00	1.00	6.00	8.10	0.77		0.09	0.32	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 495	65.00	Témoin	Témoin	Témoin	29.00	2.00	1.00	1.00	3.00	1.00	8.00	7.60	0.95		0.06	0.55	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T3	Témoin	Témoin	Témoin	Non concerné	Tém * T3	Tém * T3	Tém * T3	Tém * T3	Tém * T3
 496	19.00	Rayon V100	Dose 1/2	Non protégé	30.00	2.00	2.00	2.00	3.00	1.00	10.00	5.50	1.20		0.03	0.21	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 497	23.00	Rayon V100	Dose 1/2	Non protégé	30.00	2.00	3.00	2.00	3.00	2.00	12.00	5.80	1.07		0.04	0.22	1.00	3.00	1.00	5.00	1.00	1.00	1.00	1.50	4.50	9.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 498	26.00	Rayon V100	Dose 1/2	Non protégé	31.00	3.00	2.00	1.00	3.00	2.00	11.00	4.00	1.17		0.04	0.31	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 499	30.00	Rayon V100	Dose 1/2	Non protégé	30.00	3.00	2.00	1.00	3.00	1.00	10.00	5.40	1.10		0.04	0.27	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 500	39.00	Rayon V100	Dose 1/2	Non protégé	31.00	2.00	3.00	2.00	3.00	1.00	14.00	9.90	1.36		0.05	0.28	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 501	52.00	Rayon V100	Dose 1/2	Non protégé	30.00	2.00	3.00	2.00	3.00	1.00	11.00	5.60	1.05		0.03	0.33	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 502	32.00	Rayon V250	Dose 1/2	Non protégé	30.00	3.00	3.00	2.00	4.00	2.00	14.00	9.20	1.34		0.03	0.27	1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 503	41.00	Rayon V250	Dose 1/2	Non protégé	32.00	4.00	2.00	1.00	5.00	2.00	8.00	5.30	1.18		0.03	0.30	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 504	51.00	Rayon V250	Dose 1/2	Non protégé	35.00	2.00	1.00	1.00	3.00	1.00	11.00	7.60	1.05		0.03	0.25	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 505	59.00	Rayon V250	Dose 1/2	Non protégé	29.00	1.00	2.00	2.00	2.00	1.00	8.00	7.10	1.00		0.04	0.25	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 506	60.00	Rayon V250	Dose 1/2	Non protégé	33.00	2.00	2.00	1.00	3.00	1.00	9.00	3.90	1.04		0.04	0.29	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 507	68.00	Rayon V250	Dose 1/2	Non protégé	27.00	1.00	1.00	1.00	2.00	1.00	6.00	8.10	0.98		0.04	0.31	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T3	D1/2 * T3	Non  * T3	V1/2 * T3	V1/2np * T3
 508	10.00	Rayon V100	Dose 1/2	Filtre A	28.00	3.00	2.00	1.00	4.00	1.00	11.00	7.00	1.08		0.03	0.20	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T3	D1/2 * T3	fA * T3	V1/2 * T3	V1/2A * T3
 509	17.00	Rayon V100	Dose 1/2	Filtre A	25.00	1.00	1.00	2.00	2.00	1.00	7.00	4.60	0.71		0.07	0.39	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T3	D1/2 * T3	fA * T3	V1/2 * T3	V1/2A * T3
 510	18.00	Rayon V100	Dose 1/2	Filtre A	29.00	4.00	2.00	1.00	5.00	2.00	14.00	4.00	1.10		0.04	0.22	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.00	Temps T3	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T3	D1/2 * T3	fA * T3	V1/2 * T3	V1/2A * T3
 511	22.00	Rayon V100	Dose 1/2	Filtre A																							Temps T3	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T3	D1/2 * T3	fA * T3	V1/2 * T3	V1/2A * T3
 512	37.00	Rayon V100	Dose 1/2	Filtre A	29.00	2.00	1.00	2.00	3.00	1.00	9.00	5.80	0.89		0.05	0.28	1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T3	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T3	D1/2 * T3	fA * T3	V1/2 * T3	V1/2A * T3
